material,type,value,name,img
MVGranite,Masonry Veneer,18.64,Granite,./img/mvgranite.png
MVLimestone,Masonry Veneer,11.87,Limestone,./img/mvlimestone.png
MVBrick,Masonry Veneer,8.83,Brick,./img/mvbrick.png
MVTBrick,Masonry Veneer,5.88,Thin Brick,./img/mvtbrick.png
MInsMePanel,Misc,13.44,Insulated Metal Panel,./img/minsmepanel.png
MEIFS,Misc,13.11,EIFS (XPS),./img/mefis.png
MPrecast,Misc,9.64,Precast Concrete,./img/mprecast.png
MMinWool,Misc,3.26,EIFS (Min Wool),./img/mminwool.png
CSpandrelAlumB,Curtain Wall,14.34,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png
CSpandrelSteel,Curtain Wall,13.63,Spandrel (Steel),./img/cspandrelsteel.png
CSpandrelAlum,Curtain Wall,11.62,Spandrel (Alum),./img/cspandrelalum.png
CSpandrelWood,Curtain Wall,7.63,Spandrel (Wood),./img/cspandrelwood.png
RGFRC,Rainscreen,14.96,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png
RACM,Rainscreen,11.09,Aluminum Composite Material (ACM),./img/racm.png
RTerracotta,Rainscreen,8.28,Terracotta,./img/rterracotta.png
RPhenResin,Rainscreen,8.44,Phenolic Resin,./img/rphenresin.png
RFiberCement,Rainscreen,8.09,Fiber Cement,./img/rfibercement.png
RZinc,Rainscreen,6.79,Formed Zinc Panel,./img/rzinc.png
RUHPC,Rainscreen,6.7,UHPC (fibreC),./img/ruhpc.png
RGranite,Rainscreen,6.54,Granite,./img/rgranite.png
RTBrick,Rainscreen,6.28,Thin Brick,./img/rtbrick.png
RLimestone,Rainscreen,6.19,Limestone,./img/rlimestone.png
RSteel,Rainscreen,4.74,Formed Steel Panel,./img/rsteel.png
RWood,Rainscreen,4.89,Wood,./img/rwood.png
