material,type,value,name,img
Granite,Masonry Veneer,19.91,Granite,./img/granite.png
Limestone,Masonry Veneer,13.11,Limestone,./img/limestone.png
Brick,Masonry Veneer,9.92,Brick,./img/brick.png
InsMetPanel,Face Sealed,16.22,Insulated Metal Panel,./img/insmetalpanel.png
Spandrel,Curtain Wall,22.61, Spandrel,./img/spandrel.png
GFRC,Rainscreen,15.79,Glass Fiber Reinforced Concrete (GFRC),./img/gfrc.png
ACM,Rainscreen,11.45,Aluminum Composite Material (ACM),./img/acm.png
Terracotta,Rainscreen,9.27,Terracotta,./img/terracotta.png
PhenResin,Rainscreen,14.70,Phenolic Resin,./img/phenresin.png
FiberCement,Rainscreen,14.15,Fiber Cement,./img/fibercement.png
Zinc,Rainscreen,7.61,Formed Zinc Panel,./img/zinc.png
Granite1,Rainscreen,7.39,Granite,./img/granite1.png
Limestone1,Rainscreen,7.04,Limestone,./img/limestone1.png
Steel,Rainscreen,8.21,Formed Steel Panel,./img/steel1.png
Wood,Rainscreen,7.58,Wood,./img/wood1.png
